CODE,DESCRIPTION
AN,ANALOG RESTORAL
AR,AC RESTORAL
AS,ANALOG SERVICE
AT,AC TROUBLE
BA,BURGLARY ALARM
BB,BURGLARY BYPASS
BC,BURGLARY CANCEL
BD,SWINGER TROUBLE
BE,SWINGER TRBL RESTORE
BH,BURG ALARM RESTORE
BJ,BURG TROUBLE RESTORE
BM,BURG ALARM CROSS PNT
BR,BURGLARY RESTORAL
BS,BURGLARY SUPERVISORY
BT,BURGLARY TROUBLE
BU,BURGLARY UNBYPASS
BV,BURGLARY VERIFIED
BX,BURGLARY TEST
BZ,MISSING SUPERVISION
CA,AUTOMATIC CLOSING
CD,CLOSING DELINQUENT
CE,CLOSING EXTEND
CF,FORCED CLOSING
CG,CLOSE AREA
CI,FAIL TO CLOSE
CJ,LATE CLOSE
CK,EARLY CLOSE
CL,CLOSING REPORT
CM,MISSING AL-RECNT CLS
CP,AUTOMATIC CLOSING
CR,RECENT CLOSING
CS,CLOSE KEY SWITCH
CT,LATE TO OPEN
CW,WAS FORCE ARMED
CZ,POINT CLOSING
DA,CARD ASSIGNED
DB,CARD DELETED
DC,ACCESS CLOSED
DD,ACCESS DENIED
DE,REQUEST TO ENTER
DF,DOOR FORCED
DG,ACCESS GRANTED
DH,DOOR LEFT OPEN-RSTRL
DJ,DOOR FORCED-TROUBLE
DK,ACCESS LOCKOUT
DL,DOOR LEFT OPEN-ALARM
DM,DOOR LEFT OPEN-TRBL
DN,DOOR LEFT OPEN
DO,ACCESS OPEN
DP,ACCESS DENIED-BAD TM
DQ,ACCESS DENIED-UN ARM
DR,DOOR RESTORAL
DS,DOOR STATION
DT,ACCESS TROUBLE
DU,DEALER ID#
DV,ACCESS DENIED-UN ENT
DW,ACCESS DENIED-INTRLK
DX,REQUEST TO EXIT
DY,DOOR LOCKED
DZ,ACCESS CLOSED STATE
EA,EXIT ALARM
EE,EXIT_ERROR
ER,EXPANSION RESTORAL
ET,EXPANSION TROUBLE
EX,EXTRNL DEVICE STATE
EZ,MISSING ALARM-EXT ER
FA,FIRE ALARM
FB,FIRE BYPASS
FC,FIRE CANCEL
FH,FIRE ALARM RESTORE
FI,FIRE TEST BEGIN
FJ,FIRE TROUBLE RESTORE
FK,FIRE TEST END
FM,FIRE ALARM CROSS PNT
FR,FIRE RESTORAL
FS,FIRE SUPERVISORY
FT,FIRE TROUBLE
FU,FIRE UNBYPASS
FX,FIRE TEST
FY,MISSING FIRE TROUBLE
FZ,MISSING FIRE SPRV
GA,GAS ALARM
GB,GAS BYPASS
GH,GAS ALARM RESTORE
GJ,GAS TROUBLE RESTORE
GR,GAS RESTORAL
GS,GAS SUPERVISORY
GT,GAS TROUBLE
GU,GAS UNBYPASS
GX,GAS TEST
HA,HOLDUP ALARM
HB,HOLDUP BYPASS
HH,HOLDUP ALARM RESTORE
HJ,HOLDUP TRBL RESTORE
HR,HOLDUP RESTORAL
HS,HOLDUP SUPERVISORY
HT,HOLDUP TROUBLE
HU,HOLDUP UNBYPASS
IA,EQPMT FAIL CONDITION
IR,EQPMT FAIL RESTORE
JA,USER CODE TAMPER
JD,DATE CHANGED
JH,HOLIDAY CHANGED
JK,LATCHKEY ALERT
JL,LOG THRESHOLD
JO,LOG OVERFLOW
JP,USER ON PREMISES
JR,SCHEDULE EXECUTED
JS,SCHEDULE CHANGED
JT,TIME CHANGED
JV,USER CODE CHANGED
JX,USER CODE DELETED
JY,USER CODE ADDED
JZ,USER LEVEL SET
KA,HEAT ALARM
KB,HEAT BYPASS
KH,HEAT ALARM RESTORE
KJ,HEAT TROUBLE RESTORE
KR,HEAT RESTORAL
KS,HEAT SUPERVISORY
KT,HEAT TROUBLE
KU,HEAT UNBYPASS
L_,LISTEN IN + SECONDS
LB,LOCAL PROG. BEGIN
LD,LOCAL PROG. DENIED
LE,LISTEN IN ENDED
LF,LISTEN IN BEGIN
LR,PHONE LINE RESTORAL
LS,LOCAL PROG. SUCCESS
LT,PHONE LINE TROUBLE
LU,LOCAL PROG. FAIL
LX,LOCAL PROG. ENDED
MA,MEDICAL ALARM
MB,MEDICAL BYPASS
MH,MEDIC ALARM RESTORE
MJ,MEDICAL TRBL RESTORE
MR,MEDICAL RESTORAL
MS,MEDICAL SUPERVISORY
MT,MEDICAL TROUBLE
MU,MEDICAL UNBYPASS
NA,NO ACTIVITY
NC,NETWORK CONDITION
NF,FORCED PERIMETER ARM
NL,PERIMETER ARMED
NR,NETWORK RESTORAL
NS,ACTIVITY RESUMED
NT,NETWORK FAILURE
OA,AUTOMATIC OPENING
OC,CANCEL REPORT
OG,OPEN AREA
OH,EARLY TO OPN FROM AL
OI,FAIL TO OPEN
OJ,LATE OPEN
OK,EARLY OPEN
OL,LATE TO OPEN FROM AL
OP,OPENING REPORT
OR,DISARM FROM ALARM
OS,OPEN KEY SWITCH
OT,LATE TO CLOSE
OZ,POINT OPENING
PA,PANIC ALARM
PB,PANIC BYPASS
PH,PANIC ALARM RESTORE
PJ,PANIC TRBL RESTORE
PR,PANIC RESTORAL
PS,PANIC SUPERVISORY
PT,PANIC TROUBLE
PU,PANIC UNBYPASS
QA,EMERGENCY ALARM
QB,EMERGENCY BYPASS
QH,EMRGCY ALARM RESTORE
QJ,EMRGCY TRBL RESTORE
QR,EMERGENCY RESTORAL
QS,EMRGCY SUPERVISORY
QT,EMERGENCY TROUBLE
QU,EMERGENCY UNBYPASS
RA,RMOTE PROG CALL FAIL
RB,REMOTE PROG. BEGIN
RC,RELAY CLOSE
RD,REMOTE PROG. DENIED
RN,REMOTE RESET
RO,RELAY OPEN
RP,AUTOMATIC TEST
RR,RESTORE POWER
RS,REMOTE PROG. SUCCESS
RT,DATA LOST
RU,REMOTE PROG. FAIL
RX,MANUAL TEST
RY,TEST OFF NORMAL
SA,SPRINKLER ALARM
SB,SPRINKLER BYPASS
SH,SPRKLR ALARM RESTORE
SJ,SPRKLR TRBL RESTORE
SR,SPRINKLER RESTORAL
SS,SPRINKLER SUPERVISRY
ST,SPRINKLER TROUBLE
SU,SPRINKLER UNBYPASS
TA,TAMPER ALARM
TB,TAMPER BYPASS
TC,ALL POINTS TESTED
TE,TEST END
TH,TAMPER ALRM RESTORE
TJ,TAMPER TRBL RESTORE
TP,WALK TEST POINT
TR,TAMPER RESTORAL
TS,TEST START
TT,TAMPER TROUBLE
TU,TAMPER UNBYPASS
TX,TEST REPORT
UA,UNTYPED ZONE ALARM
UB,UNTYPED ZONE BYPASS
UH,UNTYPD ALARM RESTORE
UJ,UNTYPED TRBL RESTORE
UR,UNTYPED ZONE RESTORE
US,UNTYPED ZONE SUPRVRY
UT,UNTYPED ZONE TROUBLE
UU,UNTYPED ZONE UNBYPSS
UX,UNDEFINED ALARM
UY,UNTYPED MISSING TRBL
UZ,UNTYPED MISSING ALRM
VI,PRINTER PAPER IN
VO,PRINTER PAPER OUT
VR,PRINTER RESTORE
VT,PRINTER TROUBLE
VX,PRINTER TEST
VY,PRINTER ONLINE
VZ,PRINTER OFFLINE
WA,WATER ALARM
WB,WATER BYPASS
WH,WATER ALARM RESTORE
WJ,WATER TRBL RESTORE
WR,WATER RESTORAL
WS,WATER SUPERVISORY
WT,WATER TROUBLE
WU,WATER UNBYPASS
XA,EXTRA ACCNT REPORT
XE,EXTRA POINT
XF,EXTRA RF POINT
XH,RF INTERFERENCE RST
XI,SENSOR RESET
XJ,RF RCVR TAMPER RST
XL,LOW RF SIGNAL
XM,MISSING ALRM-X POINT
XQ,RF INTERFERENCE
XR,TRANS. BAT. RESTORAL
XS,RF RECEIVER TAMPER
XT,TRANS. BAT. TROUBLE
XW,FORCED POINT
XX,FAIL TO TEST
YA,BELL FAULT
YB,BUSY SECONDS
YC,COMMUNICATIONS FAIL
YD,RCV LINECARD TROUBLE
YE,RCV LINECARD RESTORE
YF,PARA CHECKSUM FAIL
YG,PARAMETER CHANGED
YH,BELL RESTORED
YI,OVERCURRENT TROUBLE
YJ,OVERCURRENT RESTORE
YK,COMM. RESTORAL
YM,SYSTEM BATT MISSING
YN,INVALID REPORT
YO,UNKNOWN MESSAGE
YP,PWR SUPPLY TROUBLE
YQ,PWR SUPPLY RESTORE
YR,SYSTEM BAT. RESTORAL
YS,COMMUNICATIONS TRBL
YT,SYSTEM BAT. TROUBLE
YW,WATCHDOG RESET
YX,SERVICE REQUIRED
YY,STATUS REPORT
YZ,SERVICE COMPLETED
ZA,FREEZE ALARM
ZB,FREEZE BYPASS
ZH,FREEZE ALARM RESTORE
ZJ,FREEZE TRBL RESTORE
ZR,FREEZE RESTORAL
ZS,FREEZE SUPERVISORY
ZT,FREEZE TROUBLE
ZU,FREEZE UNBYPASS
